year,weight_kg,product_category,departure_place,departure_region,arrival_place,arrival_region
1700,9068.605,Silk,Batavia,Batavia,Enkhuizen,Republiek
1700,2.6,Nutmeg,Batavia,Batavia,,Ceylon
1700,1136.2,Nutmeg,Batavia,Batavia,,Ceylon
1700,5.0,Nutmeg,Batavia,Batavia,Enkhuizen,Republiek
1700,4336.332,Nutmeg,Batavia,Batavia,Enkhuizen,Republiek
1700,17823.52,Nutmeg,Batavia,Batavia,Enkhuizen,Republiek
1700,760.76,Nutmeg,Batavia,Batavia,,Ceylon
1700,17307.29,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1700,69713.28,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1700,20.0,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1700,5.0,Nutmeg,Batavia,Batavia,Delft,Republiek
1700,4336.332,Nutmeg,Batavia,Batavia,Delft,Republiek
1700,17711.382,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1700,17784.0,Nutmeg,Batavia,Batavia,Delft,Republiek
1700,6035.0745,Nutmeg,Batavia,Batavia,,Perzië
1700,2700.698,Nutmeg,Batavia,Batavia,Surat,Surat
1700,3.15,Nutmeg,Batavia,Batavia,Surat,Surat
1700,300.0,Nutmeg,Batavia,Batavia,Surat,Surat
1700,150.0,Nutmeg,Batavia,Batavia,,Perzië
1700,7194.7395,Nutmeg,Batavia,Batavia,,Bengalen
1700,3803.8,Nutmeg,Batavia,Batavia,,Coromandel
1700,82.498,Nutmeg,Batavia,Batavia,,Coromandel
1700,1445.444,Nutmeg,Batavia,Batavia,,Malabar
1700,1502.1305,Nutmeg,Batavia,Batavia,,Malabar
1700,17452.279,Nutmeg,Batavia,Batavia,Surat,Surat
1700,9.879999999999999,Nutmeg,Batavia,Batavia,,Perzië
1700,2.7,Nutmeg,Batavia,Batavia,,Bengalen
1700,4336.332,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1700,18031.0,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1700,859.56,Opium,Batavia,Batavia,Japara,Java's Noordoostkust
1700,34095.88,Opium,,Bengalen,Batavia,Batavia
1700,41.99,Cinnamon,,Ceylon,,Malabar
1700,46189.0,Cinnamon,Galle,Ceylon,Zeeland,Republiek
1700,4199.0,Cinnamon,Galle,Ceylon,Nagapattinam,Coromandel
1700,7904.0,Cinnamon,,Ceylon,,Malabar
1700,11856.0,Cinnamon,Colombo,Ceylon,,Perzië
1700,39.519999999999996,Cinnamon,Surat,Surat,Tuticorin,Ceylon
1700,92378.0,Cinnamon,Galle,Ceylon,Amsterdam,Republiek
1700,0.494,Cinnamon,Amboina,Amboina,Banda-Neira,Banda
1700,7904.0,Cinnamon,,Malabar,Surat,Surat
1700,5.0,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1700,23712.0,Cinnamon,Galle,Ceylon,Batavia,Batavia
1700,197.6,Cinnamon,,Perzië,Batavia,Batavia
1700,3201.12,Cinnamon,Batavia,Batavia,Amsterdam,Republiek
1700,3556.8,Cinnamon,,Siam,Batavia,Batavia
1700,988.0,Cinnamon,Batavia,Batavia,Surat,Surat
1700,13515.84,Cinnamon,Batavia,Batavia,Delft,Republiek
1700,1541.28,Cinnamon,Batavia,Batavia,Zeeland,Republiek
1700,10393.76,Cinnamon,Batavia,Batavia,Enkhuizen,Republiek
1700,9721.92,Cinnamon,Batavia,Batavia,Rotterdam,Republiek
1700,17546.88,Cinnamon,Batavia,Batavia,Hoorn,Republiek
1700,10.0,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1700,4336.332,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1700,55328.0,Cinnamon,Colombo,Ceylon,Batavia,Batavia
1700,859.56,Opium,Batavia,Batavia,Palembang,Palembang
1700,1141.14,Nutmeg,Batavia,Batavia,,Bengalen
1700,352993.134,Nutmeg,Banda-Neira,Banda,Batavia,Batavia
1700,118197.404,Pepper,Batavia,Batavia,Enkhuizen,Republiek
1700,334440.964,Pepper,Batavia,Batavia,Zeeland,Republiek
1700,202607.184,Pepper,Batavia,Batavia,Delft,Republiek
1700,493486.734,Pepper,Batavia,Batavia,,Perzië
1700,545442.69,Pepper,Batavia,Batavia,Surat,Surat
1700,66981.46,Pepper,Batavia,Batavia,Nagasaki,Japan
1700,249177.058,Pepper,Batavia,Batavia,,Bengalen
1700,2426034.0,Pepper,Bantam,Bantam,Batavia,Batavia
1700,12896.364,Pepper,Tegal,Java's Noordoostkust,Batavia,Batavia
1700,6826.4625,Pepper,Padang,Sumatra's Westkust,Batavia,Batavia
1700,1272198.2,Pepper,Palembang,Palembang,Batavia,Batavia
1700,176860.0275,Pepper,Batavia,Batavia,,Coromandel
1700,302.822,Pepper,Malakka,Malakka,Batavia,Batavia
